# Test spectrum of model SSP with:
#	 age = 13.0 Gyr
#	 [Fe/H] = 0.0
#	 IMF = SPWL with alpha = 2.35
#	 sigma = 150.0 km/s
#	 SNR = 100
#----------------------------------
# wavelength	 flux	errorSpec
3656.6	0.927057687506	0.0141815391738
3657.5	0.993810668894	0.014396876128
3658.4	0.989459057581	0.0145442511946
3659.3	0.98896750507	0.0145836299862
3660.2	0.961786372862	0.0145102228219
3661.1	0.979545673592	0.0143479212889
3662.0	0.948346853128	0.0141314995593
3662.9	0.930827165132	0.0139169279069
3663.8	0.867657021096	0.0137798576911
3664.7	0.863127979529	0.0137475328374
3665.6	0.909028852618	0.0137516262061
3666.5	0.855417168029	0.0136930641046
3667.4	0.854185614264	0.013531312944
3668.3	0.82964940336	0.0133151893684
3669.2	0.820066532965	0.0131766114923
3670.1	0.787336707872	0.0132532235977
3671.0	0.851434889838	0.013537837297
3671.9	0.904403002829	0.0138544047792
3672.8	0.889499981437	0.0140358078566
3673.7	0.901238650003	0.0140589320926
3674.6	0.920667231825	0.0139759328138
3675.5	0.893645531613	0.0137868769214
3676.4	0.848631405936	0.0134534115588
3677.3	0.795925803875	0.0129999554446
3678.2	0.716285202812	0.0125323198757
3679.1	0.690921316869	0.0121820195741
3680.0	0.682766843745	0.0120615473857
3680.9	0.68655445584	0.0122047503364
3681.8	0.724269151692	0.0125112002656
3682.7	0.770094796519	0.0127958888396
3683.6	0.795653853975	0.0128954514603
3684.5	0.757943627059	0.0127306911664
3685.4	0.728459391277	0.0123373688174
3686.3	0.685191715357	0.0118833113546
3687.2	0.616952442411	0.0116306336886
3688.1	0.666777921831	0.0118003899955
3689.0	0.711483182928	0.012402553859
3689.9	0.821095589698	0.0132075005562
3690.8	0.90069452769	0.0138914409448
3691.7	0.948151508935	0.014214519192
3692.6	0.950956063272	0.0141423646265
3693.5	0.886336491165	0.0138562313861
3694.4	0.851381479924	0.0136119051409
3695.3	0.855917064988	0.0135560457586
3696.2	0.86379816048	0.0136939209634
3697.1	0.905160105505	0.0139755763666
3698.0	0.944930909763	0.0143218610655
3698.9	0.997735384159	0.0146105977472
3699.8	1.02044288101	0.0147251108064
3700.7	1.02748998478	0.0146161683712
3701.6	0.957154211408	0.0142864853568
3702.5	0.883148575393	0.0137361411152
3703.4	0.816985211654	0.0129813270915
3704.3	0.681290929337	0.0121402799073
3705.2	0.606459640655	0.0114348408028
3706.1	0.558649447896	0.0110322880465
3707.0	0.562734143479	0.0109197529891
3707.9	0.567009415062	0.0110224884909
3708.8	0.59828597139	0.0113695620449
3709.7	0.645061954061	0.0120213844246
3710.6	0.792902477777	0.0128945485274
3711.5	0.868929845091	0.0137778147618
3712.4	0.983811605869	0.0144780858805
3713.3	1.04354730606	0.0148827034041
3714.2	1.0574653324	0.0149414320425
3715.1	1.00211099689	0.0146623431505
3716.0	0.93091489184	0.014105236792
3716.9	0.834828479635	0.0133248899216
3717.8	0.722370602293	0.012338025425
3718.7	0.588780764645	0.0112052312242
3719.6	0.486982913323	0.010145386049
3720.5	0.427327760521	0.00950462703456
3721.4	0.408105205192	0.00952557049682
3722.3	0.493304849231	0.0101430334967
3723.2	0.572751539023	0.0110627432012
3724.1	0.668946054362	0.0119481082261
3725.0	0.721422316176	0.0125224183087
3725.9	0.73468379968	0.012658202393
3726.8	0.735026703867	0.0124717932152
3727.7	0.69398230924	0.0122691518255
3728.6	0.70530156862	0.0122538688171
3729.5	0.699485142908	0.0123094245834
3730.4	0.687535874656	0.0121737883511
3731.3	0.651298767881	0.0117074045108
3732.2	0.582511448169	0.0109395111352
3733.1	0.468225030197	0.010006515919
3734.0	0.391737187466	0.00912461147019
3734.9	0.341418915246	0.00854653274618
3735.8	0.330115422308	0.008448511382
